                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.43704,                0.39575,                0.40834,                0.96708,                0.92243,                0.20968,                0.21876,                0.21179,                0.92243,                0.20968,                0.21876,                0.21412,                    nan,                0.47471,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     79,                0.44416,                0.40084,                 0.4424,                 0.9642,                0.92276,                0.20968,                0.21074,                0.20276,                0.92276,                0.20968,                0.21074,                0.21074,                    nan,                0.51392,                    nan,                    nan,              0.0012377,              0.0012377,              0.0012377
                     80,                0.43739,                0.37456,                0.43726,                0.95549,                0.92396,                0.20968,                0.20133,                0.19263,                0.92396,                0.20968,                0.20133,                0.19712,                    nan,                0.57403,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     81,                0.46544,                0.33294,                0.43362,                0.98586,                0.92361,                0.20968,                0.20206,                0.19359,                0.92361,                0.20968,                0.20206,                0.19429,                    nan,                0.56119,                    nan,                    nan,              0.0012179,              0.0012179,              0.0012179
                     82,                0.45135,                 0.4041,                0.43248,                 0.9876,                0.92292,                0.20968,                 0.2138,                0.20527,                0.92292,                0.20968,                 0.2138,                0.20923,                    nan,                0.55834,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     83,                  0.488,                0.47022,                 0.4498,                0.98322,                0.92326,                0.20968,                0.22015,                0.21105,                0.92326,                0.20968,                0.22015,                 0.2153,                    nan,                0.52558,                    nan,                    nan,              0.0011981,              0.0011981,              0.0011981
                     84,                 0.4507,                 0.3242,                0.44198,                0.97764,                0.92419,                0.20968,                0.20981,                0.20558,                0.92419,                0.20968,                0.20981,                0.20297,                    nan,                0.44271,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     85,                0.44657,                0.38179,                 0.4162,                0.97357,                0.92476,                0.20968,                0.20101,                0.18802,                0.92476,                0.20968,                0.20101,                0.19621,                    nan,                0.39899,                    nan,                    nan,              0.0011783,              0.0011783,              0.0011783
                     86,                 0.4489,                0.35137,                0.40998,                0.98978,                 0.9245,                0.20968,                0.19644,                0.17951,                 0.9245,                0.20968,                0.19644,                  0.182,                    nan,                0.46776,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     87,                 0.4826,                0.43442,                0.46436,                0.98086,                  0.922,                0.20968,                0.19535,                0.18512,                  0.922,                0.20968,                0.19535,                0.18758,                    nan,                0.50784,                    nan,                    nan,              0.0011585,              0.0011585,              0.0011585
